BTC,Date,Closing Price (USD)
BTC,6/21/2021,31676.69336
BTC,6/22/2021,32505.66016
BTC,6/23/2021,33723.02734
BTC,6/24/2021,34662.4375
BTC,6/25/2021,31637.7793
BTC,6/26/2021,32186.27734
BTC,6/27/2021,34649.64453
BTC,6/28/2021,34434.33594
BTC,6/29/2021,35867.77734
BTC,6/30/2021,35040.83594
BTC,7/1/2021,33572.11719
BTC,7/2/2021,33897.04688
BTC,7/3/2021,34668.54688
BTC,7/4/2021,35287.78125
BTC,7/5/2021,33746.00391
BTC,7/6/2021,34235.19531
BTC,7/7/2021,33855.32813
BTC,7/8/2021,32877.37109
BTC,7/9/2021,33798.01172
BTC,7/10/2021,33520.51953
BTC,7/11/2021,34240.1875
BTC,7/12/2021,33155.84766
BTC,7/13/2021,32702.02539
BTC,7/14/2021,32822.34766
BTC,7/15/2021,31780.73047
BTC,7/16/2021,31421.53906
BTC,7/17/2021,31533.06836
BTC,7/18/2021,31796.81055
BTC,7/19/2021,30817.83203
BTC,7/20/2021,29807.34766
BTC,7/21/2021,32110.69336
BTC,7/22/2021,32313.10547
BTC,7/23/2021,33581.55078
BTC,7/24/2021,34292.44531
BTC,7/25/2021,35350.1875
BTC,7/26/2021,37337.53516
BTC,7/27/2021,39406.94141
BTC,7/28/2021,39995.90625
BTC,7/29/2021,40008.42188
BTC,7/30/2021,42235.54688
BTC,7/31/2021,41626.19531
BTC,8/1/2021,39974.89453
BTC,8/2/2021,39201.94531
BTC,8/3/2021,38152.98047
BTC,8/4/2021,39747.50391
BTC,8/5/2021,40869.55469
BTC,8/6/2021,42816.5
BTC,8/7/2021,44555.80078
BTC,8/8/2021,43798.11719
